1, 29
2, 28
4, 31
8, 29
16, 30
32, 32
64, 33
128, 29
256, 36
512, 46
1024, 46
2048, 50
4096, 68
8192, 96
16384, 109
32768, 113
65536, 115
131072, 117
262144, 122
524288, 124
